,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INJURIES,SERIOUSINJURIES,FATALITIES,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR,Date,Latitude,Longitude,geometry,index_right
291,-122.34457937264732,47.65957519296524,1292,124600,124600,3562409,Matched,Intersection,26818.0,WOODLAND PARK AVE N AND N 43RD N ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2011-12-07T00:00:00.000Z,12/7/2011 9:57:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,Y,11341002.0,,45,Vehicle - Pedalcyclist,0,0,N,2011-12-07 21:57:00,47.65957519296524,-122.34457937264732,POINT (-122.3445793726473 47.65957519296524),0
293,-122.3274805474719,47.54263020202814,1294,82300,82300,2894257,Matched,Block,,EAST MARGINAL WAY S BETWEEN S RIVER ST AND S BRIGHTON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2008-08-05T00:00:00.000Z,8/5/2008,Mid-Block (but intersection related),21.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,0,Clear or Partly Cloudy,Dry,Daylight,,8218038.0,,45,Vehicle - Pedalcyclist,20579,0,N,2008-08-05 00:00:00,47.54263020202814,-122.3274805474719,POINT (-122.3274805474719 47.54263020202814),0
395,-122.38331494201152,47.64338419615218,1396,57800,57800,2410889,Matched,Block,,21ST AVE W BETWEEN ELLIOTT BAY TRL AND THORNDYKE AVE W,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2006-08-09T00:00:00.000Z,8/9/2006,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,6221003.0,,45,Vehicle - Pedalcyclist,0,0,N,2006-08-09 00:00:00,47.64338419615218,-122.38331494201152,POINT (-122.3833149420115 47.64338419615218),0
450,-122.31333457571536,47.65339944054253,1451,164700,164720,3587239,Matched,Intersection,27167.0,UNIVERSITY WAY NE AND NE PACIFIC ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-03-14T00:00:00.000Z,3/14/2014 2:30:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Unknown,Unknown,Unknown,Y,,,45,Vehicle - Pedalcyclist,0,522415,N,2014-03-14 14:30:00,47.65339944054253,-122.31333457571536,POINT (-122.3133345757154 47.65339944054253),0
486,-122.3936836540884,47.66865139722938,1487,153200,153204,3612944,Matched,Block,,NW MARKET ST BETWEEN 28TH AVE NW AND NW 54TH ST, ,,2,Injury Collision,Rear Ended,4,0,1,2,3,0,0,2013-09-01T00:00:00.000Z,9/1/2013 1:13:00 PM,Mid-Block (not related to intersection),54.0,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,Y,N,Clear or Partly Cloudy,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,25933,0,N,2013-09-01 13:13:00,47.66865139722938,-122.3936836540884,POINT (-122.3936836540884 47.66865139722938),0
629,-122.34068746740265,47.66428986783398,1630,151900,151920,3502750,Matched,Intersection,25545.0,STONE WAY N AND N 49TH ST, ,,2,Injury Collision,Cycles,4,0,1,1,1,0,0,2013-08-07T00:00:00.000Z,8/7/2013 12:22:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,0,N,2013-08-07 12:22:00,47.66428986783398,-122.34068746740265,POINT (-122.3406874674026 47.66428986783398),0
715,-122.3242570535195,47.61957466340037,1716,221100,221380,3738424,Matched,Intersection,29188.0,E JOHN ST AND E OLIVE WAY, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2016-05-31T00:00:00.000Z,5/31/2016 10:44:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,23258,0,N,2016-05-31 10:44:00,47.61957466340037,-122.3242570535195,POINT (-122.3242570535195 47.61957466340037),0
717,-122.35435321896868,47.676022570157066,1718,58800,58800,2188851,Matched,Intersection,24363.0,PHINNEY AVE N AND N 65TH ST,,,2b,Serious Injury Collision,Cycles,1,0,1,0,1,1,0,2006-05-07T00:00:00.000Z,5/7/2006,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Overcast,Dry,Daylight,,6127003.0,,45,Vehicle - Pedalcyclist,0,0,N,2006-05-07 00:00:00,47.676022570157066,-122.35435321896868,POINT (-122.3543532189687 47.67602257015707),0
719,-122.32092313705616,47.652025947338885,1720,203200,203340,3707999,Matched,Block,,UNIVERSITY BR BETWEEN FUHRMAN AVE E AND POINT A, ,,2,Injury Collision,Cycles,1,0,1,0,1,0,0,2015-09-25T00:00:00.000Z,9/25/2015 7:41:00 AM,Mid-Block (not related to intersection),69.0,PEDALCYCLIST OVERTURNED IN ROAD,,N,Raining,Wet,Dawn,,,,45,Vehicle - Pedalcyclist,15469,0,N,2015-09-25 07:41:00,47.652025947338885,-122.32092313705616,POINT (-122.3209231370562 47.65202594733888),0
787,-122.31448850984015,47.6535988462442,1788,134000,134000,3596935,Matched,Intersection,27146.0,BROOKLYN AVE NE AND NE PACIFIC ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2012-04-15T00:00:00.000Z,4/15/2012 2:50:00 PM,At Intersection (intersection related),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,12106008.0,,45,Vehicle - Pedalcyclist,31308,0,N,2012-04-15 14:50:00,47.6535988462442,-122.31448850984015,POINT (-122.3144885098401 47.6535988462442),0
837,-122.37781724483528,47.49956611944128,1838,95700,95700,2792944,Matched,Block,,MARINE VIEW DR SW BETWEEN SW OCEAN VIEW DR AND 35TH AVE SW,,,2b,Serious Injury Collision,Cycles,3,0,1,1,1,1,0,2009-04-04T00:00:00.000Z,4/4/2009,Mid-Block (not related to intersection),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,Y,9094007.0,,45,Vehicle - Pedalcyclist,31380,0,N,2009-04-04 00:00:00,47.49956611944128,-122.37781724483528,POINT (-122.3778172448353 47.49956611944128),0
845,-122.29216433944738,47.541317728530124,1846,130400,130400,3545544,Matched,Block,,S BRIGHTON ST BETWEEN 30TH AVE S AND 32ND AVE S,,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2011-06-29T00:00:00.000Z,6/29/2011 8:00:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,11180005.0,,45,Vehicle - Pedalcyclist,0,0,N,2011-06-29 20:00:00,47.541317728530124,-122.29216433944738,POINT (-122.2921643394474 47.54131772853012),0
900,-122.3351687568724,47.64687291252812,1901,103800,103800,3289763,Matched,Intersection,26916.0,BURKE AVE N AND N NORTHLAKE WAY, ,,2,Injury Collision,Cycles,3,0,1,1,1,0,0,2009-03-05T00:00:00.000Z,3/5/2009,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Overcast,Wet,Daylight,Y,9064020.0,,45,Vehicle - Pedalcyclist,0,522489,N,2009-03-05 00:00:00,47.64687291252812,-122.3351687568724,POINT (-122.3351687568724 47.64687291252812),0
935,-122.3324646739894,47.62748318161905,1936,72200,72200,2806490,Matched,Block,,FAIRVIEW AVE N BETWEEN ALOHA ST AND WARD ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2007-12-06T00:00:00.000Z,12/6/2007,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",Y,0,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,7340002.0,,45,Vehicle - Pedalcyclist,0,0,N,2007-12-06 00:00:00,47.62748318161905,-122.3324646739894,POINT (-122.3324646739894 47.62748318161905),0
974,-122.35825029729816,47.73232119771938,1975,63600,63600,2188744,Matched,Intersection,35587.0,1ST AVE NW AND NW 143RD ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2006-05-16T00:00:00.000Z,5/16/2006 6:30:00 AM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,6136002.0,,45,Vehicle - Pedalcyclist,0,0,N,2006-05-16 06:30:00,47.73232119771938,-122.35825029729816,POINT (-122.3582502972982 47.73232119771938),0
1045,-122.35529799071956,47.684381650287456,3046,194800,194900,E423624,Matched,Block,,GREENWOOD AVE N BETWEEN N 76TH ST AND N 77TH ST, ,,2,Injury Collision,Cycles,0,0,1,1,1,0,0,2015-05-08T00:00:00.000Z,5/8/2015 1:20:00 PM,,0.0,NOT ENOUGH INFORMATION / NOT APPLICABLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,4477,0,Y,2015-05-08 13:20:00,47.684381650287456,-122.35529799071956,POINT (-122.3552979907196 47.68438165028746),0
1143,-122.38541667514777,47.69058226155918,3144,16465,16465,3569125,Matched,Intersection,36977.0,23RD AVE NW AND NW 85TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-04-04T00:00:00.000Z,4/4/2013 7:30:00 AM,At Intersection (intersection related),23.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, LEFT SIDE SIDESWIPE",,N,Unknown,Unknown,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,0,N,2013-04-04 07:30:00,47.69058226155918,-122.38541667514777,POINT (-122.3854166751478 47.69058226155918),0
1175,-122.30126997609516,47.66313985433484,3176,16729,16729,3551423,Matched,Block,,NE 47TH ST BETWEEN 24TH AVE NE AND 25TH AVE NE, ,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2013-04-08T00:00:00.000Z,4/8/2013 2:36:00 PM,Mid-Block (but intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Overcast,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,0,N,2013-04-08 14:36:00,47.66313985433484,-122.30126997609516,POINT (-122.3012699760952 47.66313985433484),0
1305,-122.3418822042658,47.617674955227855,3306,302000,303220,E835702,Matched,Block,,7TH AVE BETWEEN BELL ST AND DEXTER AVE, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-09-04T00:00:00.000Z,9/4/2018 4:06:00 PM,Mid-Block (not related to intersection),11.0,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,5,Vehicle Strikes Pedalcyclist,0,0,N,2018-09-04 16:06:00,47.617674955227855,-122.3418822042658,POINT (-122.3418822042658 47.61767495522786),0
1323,-122.32904690019026,47.59538697188313,3324,12923,12923,1776526,Matched,Block,,4TH AVE S BETWEEN SEATTLE BLVD S AND I90 WB 4TH AV OFF RP,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2004-04-21T00:00:00.000Z,4/21/2004 12:45:00 PM,Driveway Junction,18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Wet,Daylight,,4112025.0,,45,Vehicle - Pedalcyclist,0,0,N,2004-04-21 12:45:00,47.59538697188313,-122.32904690019026,POINT (-122.3290469001903 47.59538697188313),0
1507,-122.33591076464307,47.60004611083184,3508,185900,185980,3641268,Matched,Intersection,30363.0,ALASKAN WAY S AND S MAIN ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2015-02-22T00:00:00.000Z,2/22/2015 2:52:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,44781,0,N,2015-02-22 14:52:00,47.60004611083184,-122.33591076464307,POINT (-122.3359107646431 47.60004611083184),0
1559,-122.3202159908896,47.627749237387874,3560,180200,180260,3626381,Matched,Block,,10TH AVE E BETWEEN E ALOHA ST AND E PROSPECT ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-12-03T00:00:00.000Z,12/3/2014 5:53:00 PM,Mid-Block (not related to intersection),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,Y,N,Clear or Partly Cloudy,Dry,Dark - Street Lights On,,,,45,Vehicle - Pedalcyclist,6170,0,N,2014-12-03 17:53:00,47.627749237387874,-122.3202159908896,POINT (-122.3202159908896 47.62774923738787),0
1588,-122.31678461939912,47.613496502358174,3589,303500,304760,3814186,Matched,Block,,12TH AVE BETWEEN E MADISON ST AND E PIKE ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2018-09-18T00:00:00.000Z,9/18/2018 10:09:00 AM,Mid-Block (not related to intersection),21.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, REAR END",,N,Overcast,Dry,Daylight,,,,5,Vehicle Strikes Pedalcyclist,0,0,N,2018-09-18 10:09:00,47.613496502358174,-122.31678461939912,POINT (-122.3167846193991 47.61349650235817),0
1615,-122.32080786644516,47.615817946799226,3616,169200,169220,3701739,Matched,Block,,BROADWAY BETWEEN E PINE ST AND XW E OLIVE ST, ,,2,Injury Collision,Cycles,1,0,1,0,1,0,0,2014-06-04T00:00:00.000Z,6/4/2014 8:45:00 AM,Mid-Block (not related to intersection),69.0,PEDALCYCLIST OVERTURNED IN ROAD,,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,6853,0,N,2014-06-04 08:45:00,47.615817946799226,-122.32080786644516,POINT (-122.3208078664452 47.61581794679923),0
1644,-122.29053117784711,47.6974587974556,3645,16494,16494,3597407,Matched,Intersection,37899.0,35TH AVE NE AND NE 95TH ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-04-03T00:00:00.000Z,4/3/2013 1:40:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,Y,,,45,Vehicle - Pedalcyclist,0,524610,N,2013-04-03 13:40:00,47.6974587974556,-122.29053117784711,POINT (-122.2905311778471 47.6974587974556),0
1758,-122.34012716975988,47.61062229598858,3759,16977,16977,1482733,Matched,Block,,2ND AVE BETWEEN PINE ST AND STEWART ST,,,2b,Serious Injury Collision,Cycles,2,0,1,1,1,1,0,2004-12-02T00:00:00.000Z,12/2/2004,Mid-Block (not related to intersection),54.0,PEDALCYCLIST STRUCK MOTOR VEHICLE REAR END,,0,Clear or Partly Cloudy,Dry,Daylight,,4337020.0,,45,Vehicle - Pedalcyclist,0,0,N,2004-12-02 00:00:00,47.61062229598858,-122.34012716975988,POINT (-122.3401271697599 47.61062229598858),0
1939,-122.35148024976387,47.625437689900906,3940,174300,174320,3505820,Matched,Intersection,28885.0,3RD AVE N AND ROY ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-08-25T00:00:00.000Z,8/25/2014 3:26:00 PM,At Intersection (intersection related),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,12407,0,N,2014-08-25 15:26:00,47.625437689900906,-122.35148024976387,POINT (-122.3514802497639 47.62543768990091),0
1971,-122.35279216050895,47.62457274097798,3972,168900,168920,3705199,Matched,Intersection,28917.0,2ND AVE N AND MERCER ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2014-05-15T00:00:00.000Z,5/15/2014 6:22:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Clear or Partly Cloudy,Dry,Daylight,,,,45,Vehicle - Pedalcyclist,0,523112,N,2014-05-15 18:22:00,47.62457274097798,-122.35279216050895,POINT (-122.352792160509 47.62457274097798),0
2032,-122.30905765154176,47.574567437507895,4033,17535,17535,1771605,Matched,Block,,BEACON AVE S BETWEEN S HANFORD ST AND S HORTON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2004-05-12T00:00:00.000Z,5/12/2004 5:17:00 PM,Mid-Block (not related to intersection),51.0,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,0,Clear or Partly Cloudy,Dry,Daylight,,4133006.0,,45,Vehicle - Pedalcyclist,0,0,N,2004-05-12 17:17:00,47.574567437507895,-122.30905765154176,POINT (-122.3090576515418 47.57456743750789),0
2106,-122.34691710020923,47.62446930135916,4107,262300,263060,E750706,Matched,Block,,MERCER ST BETWEEN 5TH AVE N AND TAYLOR AVE N, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2017-12-20T00:00:00.000Z,12/20/2017 6:15:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Unknown,Unknown,Unknown,Y,,,45,Vehicle - Pedalcyclist,0,0,N,2017-12-20 18:15:00,47.62446930135916,-122.34691710020923,POINT (-122.3469171002092 47.62446930135916),0
2178,-122.3244869977215,47.60862448081681,4179,17612,17612,1772159,Matched,Intersection,29922.0,BOREN AVE AND MARION ST,,,1,Property Damage Only Collision,Cycles,2,0,1,1,0,0,0,2004-06-15T00:00:00.000Z,6/15/2004 8:15:00 AM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,4167029.0,,45,Vehicle - Pedalcyclist,0,0,N,2004-06-15 08:15:00,47.60862448081681,-122.3244869977215,POINT (-122.3244869977215 47.60862448081681),0
2258,-122.29618878574507,47.62347604876238,4259,17291,17291,1472875,Matched,Intersection,29253.0,28TH AVE E AND E MADISON ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2004-06-10T00:00:00.000Z,6/10/2004 5:06:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,4162021.0,,45,Vehicle - Pedalcyclist,0,0,N,2004-06-10 17:06:00,47.62347604876238,-122.29618878574507,POINT (-122.2961887857451 47.62347604876238),0
2292,-122.30186480482853,47.71931616504676,4293,17149,17149,1782185,Matched,Intersection,36606.0,25TH AVE NE AND NE 125TH ST,,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2004-06-21T00:00:00.000Z,6/21/2004 3:06:00 PM,At Intersection (intersection related),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,0,Clear or Partly Cloudy,Dry,Daylight,Y,4173012.0,,45,Vehicle - Pedalcyclist,0,0,N,2004-06-21 15:06:00,47.71931616504676,-122.30186480482853,POINT (-122.3018648048285 47.71931616504676),0
2298,-122.33418648137815,47.59962589525286,4299,16776,16776,3562743,Matched,Block,,1ST AVE S BETWEEN S MAIN ST AND S JACKSON ST, ,,2,Injury Collision,Cycles,2,0,1,1,1,0,0,2013-04-11T00:00:00.000Z,4/11/2013 2:09:00 PM,Mid-Block (not related to intersection),18.0,"MOTOR VEHICLE STRUCK PEDALCYCLIST, FRONT END AT ANGLE",,N,Raining,Wet,Daylight,Y,,,45,Vehicle - Pedalcyclist,36127,0,N,2013-04-11 14:09:00,47.59962589525286,-122.33418648137815,POINT (-122.3341864813782 47.59962589525286),0
