,CRASH_RECORD_ID,RD_NO,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,Date,Latitude,Longitude,geometry,index_right
826,6cb7a58bab36dd70e9bcba6f54c474aa0b940b8b7fe0be8809da1882658ec770f771c374600b48c4496769f2883fb64235cf89e2831f20094462c3dc2c6f5a30,JD219246,,04/28/2020 04:25:00 PM,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,04/28/2020 04:26:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,1530,W,34TH ST,912.0,,Y,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,3,4,41.832468285,-87.66429187,POINT (-87.664291869972 41.832468285018),2020-04-28 16:25:00,41.832468285,-87.66429187,POINT (-87.66429187 41.832468285),0
1181,8d316655df0ce6981ae8a27f03a26b8d23a19f4b82eeb198ec9fbad9dc006f10f22ee0e82198de6ea54712c1d44d623162233ea66f5f284d2e90dca62275c515,JA522211,,11/22/2017 08:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,11/22/2017 08:47:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,3547,N,LINCOLN AVE,1922.0,,,Y,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20,4,11,41.946506756,-87.673270312,POINT (-87.673270312024 41.946506755973),2017-11-22 20:45:00,41.946506756,-87.673270312,POINT (-87.673270312 41.946506756),0
1359,e1c2de47f25d604c3a44ccf1717c51fba8b8c24c09e8854e87a49b3390513a2c282e08a4540525d9684e07a3dcf97bc4bad2c3c84791dd44bd53e23565d3274f,JB333881,,07/03/2018 02:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,UNKNOWN,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",07/03/2018 04:18:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,200,W,HARRISON ST,123.0,,Y,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,14,3,7,41.874590031,-87.633704185,POINT (-87.633704184958 41.874590031007),2018-07-03 14:30:00,41.874590031,-87.633704185,POINT (-87.633704185 41.874590031),0
1590,1c95ed6e22693bd151b9a2548283d5ec26acf493fc486f801bb1ef2b35b34d8ea414bc49ac0c6eb248af9ff5176bbc5bd382ec23ca648fa8c0d038bd4c312db4,HZ135606,,01/31/2016 03:30:00 PM,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,PEDALCYCLIST,ONE-WAY,1.0,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,01/31/2016 03:45:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2257,S,TROY ST,1033.0,,,N,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,15,1,1,41.850117412,-87.703834155,POINT (-87.703834155048 41.850117412024),2016-01-31 15:30:00,41.850117412,-87.703834155,POINT (-87.703834155 41.850117412),0
1595,0efc2f920d5a9d11b680db78e89d9b87fccd56ec9365fd02870c77ee9e0767b7baf6dce41200101af18db77048af9823649a98cf431dcc0611e0d776778b6037,JC423106,,09/06/2019 11:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,09/06/2019 11:04:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,1125,W,THORNDALE AVE,2022.0,,Y,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,6,9,41.989927122,-87.659278936,POINT (-87.659278935965 41.989927122034),2019-09-06 23:00:00,41.989927122,-87.659278936,POINT (-87.65927893600001 41.989927122),0
1606,2ed5a07fda76bcbfeb1f9b083f46f1080f8af5f36d958c8a88409089f59eb4bb08bd3d0a1eb5fcaf956eb79d0e460d52f8cecb420891b0a5b3620599390cb4b4,JB354685,,07/18/2018 10:30:00 AM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/18/2018 10:39:00 AM,NOT APPLICABLE,NOT APPLICABLE,7400,S,SOUTH SHORE DR,334.0,,,,Y,CONSTRUCTION,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10,4,7,41.762174118,-87.558927464,POINT (-87.558927463962 41.762174118016),2018-07-18 10:30:00,41.762174118,-87.558927464,POINT (-87.55892746400001 41.762174118),0
1647,3c9fb03505b09fef4332d6ba97abbdecb1f68403b2df047da81e81882279c5d9f4a7aca4680c55dd99bfcf0fa153827f897c9d8399db8579a68036e6e4b76848,JB247958,,05/03/2018 09:05:00 AM,30,NO CONTROLS,UNKNOWN,CLEAR,DAYLIGHT,PEDALCYCLIST,DIVIDED - W/MEDIAN (NOT RAISED),4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,$500 OR LESS,05/03/2018 09:28:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1332,W,DIVISION ST,1433.0,,,,,,,2.0,INCAPACITATING INJURY,2.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,5,41.903536788,-87.661859583,POINT (-87.661859582959 41.903536788031),2018-05-03 09:05:00,41.903536788,-87.661859583,POINT (-87.66185958299999 41.903536788),0
1917,79e5a5a0ef7515cff11d0bfbc974b536a7abf6c583f916b80a5d16326bc007a001b9cb2870bbdcb18502712a2d2fab48678b82046e953dc02028d0181f267fa9,JC380282,,08/05/2019 10:30:00 AM,30,TRAFFIC SIGNAL,OTHER,UNKNOWN,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,08/05/2019 10:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,2398,W,FOSTER AVE,2012.0,,,,,,,2.0,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,10,2,8,41.97600184,-87.689092635,POINT (-87.689092634969 41.97600183997),2019-08-05 10:30:00,41.97600184,-87.689092635,POINT (-87.68909263499999 41.97600184),0
2023,6f38c2391b122be35dd8d109ad4936cc61f322f272ac2fb18f65eef8ef053e9a68335ff37bdd4acfbc32b8343c4f900ffd0d16ee71feb052f730146d000eb410,JB338725,,07/06/2018 10:20:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,DIVIDED - W/MEDIAN BARRIER,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",07/06/2018 10:23:00 PM,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",UNABLE TO DETERMINE,3197,W,NORTH AVE,1423.0,,Y,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,22,6,7,41.910005731,-87.706895043,POINT (-87.706895043031 41.91000573099),2018-07-06 22:20:00,41.910005731,-87.706895043,POINT (-87.706895043 41.910005731),0
2047,0dc28b9460d8060e0f9ccfd2ac608c376404941617ce01e5b6e61440358f1b19cd972b0043e6e9d3161dc9ae16ebce65eb13f4ab290cea85c15619a38f50bae3,JC415317,,08/31/2019 10:06:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,ONE-WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,08/31/2019 10:07:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,FAILING TO YIELD RIGHT-OF-WAY,4100,N,RIDGEWAY AVE,1723.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,22,7,8,41.955648575,-87.721689894,POINT (-87.721689893972 41.955648575033),2019-08-31 22:06:00,41.955648575,-87.721689894,POINT (-87.72168989399999 41.955648575),0
2220,3c69eb13b04e2bc1aa7ebb4f785d6e9383f39555bbbe43429dcf6795e217bff2aca4d106e8dafc430ec0e5f83fac78922f797d2a962b57ad476a309d39c77849,JB390082,,08/12/2018 11:30:00 AM,30,YIELD,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,08/12/2018 11:31:00 AM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,626,W,LAWRENCE DR,2024.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,11,1,8,41.969627875,-87.64691404,POINT (-87.646914040049 41.96962787502),2018-08-12 11:30:00,41.969627875,-87.64691404,POINT (-87.64691404 41.969627875),0
2275,60441825bf315799b9dbe65d114211c2af2bbd1c471c201b32f671f98b2485b2d91262f770726a15637c6cc0bffe468f546c6109768a6c65ac1342bd424dce7a,JB382534,,08/06/2018 09:09:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,NOT DIVIDED,4.0,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,Y,"OVER $1,500",08/06/2018 10:06:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,640,S,WABASH AVE,123.0,,,Y,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,2,8,41.873546075,-87.626122517,POINT (-87.626122517003 41.873546074979),2018-08-06 21:09:00,41.873546075,-87.626122517,POINT (-87.626122517 41.873546075),0
2294,fcaa3e5a41b83f8dfed76668171c84165b48045aebf7faa80e5d22933de4885bd719275f3e65674f57b9cbb4d214d4ebd65e99b1ef8fda34edcbd369173cd2dc,JC548090,,12/15/2019 05:00:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",PEDALCYCLIST,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,$500 OR LESS,12/15/2019 05:17:00 PM,DISREGARDING STOP SIGN,FAILING TO YIELD RIGHT-OF-WAY,900,N,ORLEANS ST,1823.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,17,1,12,41.898979021,-87.637410212,POINT (-87.637410212028 41.898979021041),2019-12-15 17:00:00,41.898979021,-87.637410212,POINT (-87.63741021200001 41.898979021),0
2414,86506445d6d9cb9cbe0aa02efc937402a08091bbbaa52dfddf473a9a47e804bebdd9657f58ad1ae54351c7fd11d30e3aa8ee0a71ebf03cd7e22d52e801eb0ce8,JA426146,,09/10/2017 05:05:00 PM,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"$501 - $1,500",09/10/2017 05:23:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,1400,W,WEBSTER AVE,1811.0,,,,,,,2.0,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,17,1,9,41.921729807,-87.663234201,POINT (-87.663234201004 41.921729806985),2017-09-10 17:05:00,41.921729807,-87.663234201,POINT (-87.66323420099999 41.921729807),0
2435,0a12fc078548ac1ce94ee36e91ab6ffda0d916da43fd016c2aca1e51622ec1e586455d80aadfd42142e956e243b452fd26ccfea76608a7c6a95fda777e88fdeb,JC292026,,06/04/2019 04:43:00 PM,35,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,06/04/2019 04:43:00 PM,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,406,E,61ST ST,313.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16,3,6,41.783999985,-87.615393108,POINT (-87.61539310801 41.783999985021),2019-06-04 16:43:00,41.783999985,-87.615393108,POINT (-87.61539310800001 41.783999985),0
2544,41ab449d5e1aa8ab737fad9ea5710c394642977ef24cfd01ef1735385b4aeaa6fb069dc7c876884fea0a6660fa00529d00cf6f6da7bafa29f34f56da49a968d9,JB334214,,07/03/2018 06:57:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/03/2018 08:17:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3413,N,BROADWAY,1925.0,,,Y,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,3,7,41.94375169,-87.644915824,POINT (-87.644915824017 41.943751690028),2018-07-03 18:57:00,41.94375169,-87.644915824,POINT (-87.64491582399999 41.94375169),0
2570,8e77c270a29661f6562665fc71ab5361a9bb8c28cab42c3e37e354ebfcc7dee28ff32ed3cf180d4a31638ca3a9ebbe04bab93a09451aaccd6b73859a09645359,JC343282,Y,07/10/2019 07:40:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,07/10/2019 07:40:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,NOT APPLICABLE,443,N,STATE ST,1834.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19,4,7,41.89054065,-87.627879862,POINT (-87.627879861961 41.890540649971),2019-07-10 19:40:00,41.89054065,-87.627879862,POINT (-87.627879862 41.89054065),0
2587,503932f1d4da11c4e800bda07f7a083e11e972d80564524baa4630381bb0d2126dbf6a344d80e9afd5c36ce6174851a004932e895e0bf6ca0d710aaa34edb817,JB375838,,08/02/2018 12:15:00 PM,30,STOP SIGN/FLASHER,OTHER,CLEAR,DAYLIGHT,PEDALCYCLIST,NOT DIVIDED,2.0,STRAIGHT ON GRADE,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,N,,,$500 OR LESS,08/02/2018 12:15:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,499,E,69TH ST,322.0,,,,,,,2.0,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12,5,8,41.769361738,-87.613549341,POINT (-87.613549340977 41.769361737994),2018-08-02 12:15:00,41.769361738,-87.613549341,POINT (-87.613549341 41.769361738),0
